Datum,Prijs per MWh
2024-01-15,34.183
2024-01-16,33.943
2024-01-17,32.712
2024-01-18,33.064
2024-01-19,33.382
2024-01-22,32.74
2024-01-23,33.035
2024-01-24,34.051
2024-01-25,33.36
2024-01-26,33.371
2024-01-29,33.341
2024-01-30,33.608
2024-01-31,34.376
2024-02-01,34.04
2024-02-02,34.047
2024-02-05,33.117
2024-02-06,32.964
2024-02-07,32.54
2024-02-08,31.714
2024-02-09,30.895
2024-02-12,30.632
2024-02-13,30.523
2024-02-14,30.023
2024-02-15,30.125
2024-02-16,30.093
2024-02-19,29.447
2024-02-20,30.113
2024-02-21,30.093
2024-02-22,29.554
2024-02-23,28.945
2024-02-26,29.546
2024-02-27,30.2
2024-02-28,31.122
2024-02-29,30.93
2024-03-01,31.499
2024-03-04,32.075
2024-03-05,32.501
2024-03-06,31.977
2024-03-07,31.591
2024-03-08,31.567
2024-03-11,30.672
2024-03-12,30.305
2024-03-13,30.366
2024-03-14,31.199
2024-03-15,31.674
2024-03-18,32.661
2024-03-19,32.787
2024-03-20,32.121
2024-03-21,31.471
2024-03-22,32.513
2024-03-25,33.189
2024-03-26,32.514
2024-03-27,33.037
2024-03-28,32.579
2024-04-01,32.579
2024-04-02,31.812
2024-04-03,31.698
2024-04-04,32.101
2024-04-05,32.778
2024-04-08,34.111
2024-04-09,34.053
2024-04-10,34.048
2024-04-11,36.185
2024-04-12,37.256
2024-04-15,37.025
2024-04-16,38.199
2024-04-17,36.37
2024-04-18,36.954
2024-04-19,35.433
2024-04-22,34.541
2024-04-23,34.215
2024-04-24,34.646
2024-04-25,35.165
2024-04-26,34.884
2024-04-29,34.129
2024-04-30,35.127
2024-05-01,34.791
2024-05-02,36.413
2024-05-03,36.168
2024-05-06,36.887
2024-05-07,36.759
2024-05-08,36.528
2024-05-09,36.863
2024-05-10,36.41
2024-05-13,36.144
2024-05-14,36.573
2024-05-15,36.437
2024-05-16,36.993
2024-05-17,37.202
2024-05-20,37.725
2024-05-21,38.765
2024-05-22,39.595
2024-05-23,40.314
2024-05-24,39.255
2024-05-27,40.088
2024-05-28,38.884
2024-05-29,39.161
2024-05-30,39.696
2024-05-31,38.437
2024-06-03,39.234
2024-06-04,37.669
2024-06-05,36.996
2024-06-06,37.204
2024-06-07,37.046
2024-06-10,37.93
2024-06-11,37.72
2024-06-12,38.168
2024-06-13,38.426
2024-06-14,38.293
2024-06-17,37.758
2024-06-18,38.321
2024-06-19,39.124
2024-06-20,38.923
2024-06-21,38.536
2024-06-24,38.471
2024-06-25,38.875
2024-06-26,38.186
2024-06-27,38.901
2024-06-28,38.987
2024-07-01,38.652
2024-07-02,39.308
2024-07-03,38.957
2024-07-04,39.286
2024-07-05,39.08
2024-07-08,38.665
2024-07-09,37.888
2024-07-10,37.43
2024-07-11,37.679
2024-07-12,38.115
2024-07-15,37.79
2024-07-16,38.571
2024-07-17,37.879
2024-07-18,38.316
2024-07-19,37.956
2024-07-22,37.791
2024-07-23,37.754
2024-07-24,38.594
2024-07-25,38.199
2024-07-26,38.698
2024-07-29,39.636
2024-07-30,39.829
2024-07-31,40.346
2024-08-01,41.019
2024-08-02,40.758
2024-08-05,39.8
2024-08-06,40.19
2024-08-07,41.416
2024-08-08,42.419
2024-08-09,42.746
2024-08-12,42.345
2024-08-13,42.49
2024-08-14,42.668
2024-08-15,43.065
2024-08-16,43.27
2024-08-19,42.957
2024-08-20,41.422
2024-08-21,40.755
2024-08-22,40.586
2024-08-23,41.014
2024-08-26,41.621
2024-08-27,41.845
2024-08-28,41.549
2024-08-29,41.409
2024-08-30,41.662
2024-09-02,41.116
2024-09-03,40.224
2024-09-04,39.139
2024-09-05,39.384
2024-09-06,39.428
2024-09-09,39.754
2024-09-10,38.399
2024-09-11,38.683
2024-09-12,37.756
2024-09-13,38.103
2024-09-16,36.858
2024-09-17,38.167
2024-09-18,38.295
2024-09-19,36.108
2024-09-20,37.061
2024-09-23,37.835
2024-09-24,37.362
2024-09-25,38.436
2024-09-26,38.582
2024-09-27,38.842
2024-09-30,39.213
2024-10-01,39.434
2024-10-02,39.337
2024-10-03,40.01
2024-10-04,40.625
2024-10-07,40.362
2024-10-08,39.434
2024-10-09,38.874
2024-10-10,40.27
2024-10-11,40.046
2024-10-14,40.584
2024-10-15,40.128
2024-10-16,39.547
2024-10-17,39.595
2024-10-18,39.275
2024-10-21,39.901
2024-10-22,40.419
2024-10-23,40.897
2024-10-24,41.42
2024-10-25,42.151
2024-10-28,41.421
2024-10-29,40.863
2024-10-30,39.573
2024-10-31,39.559
2024-11-01,38.237
2024-11-04,38.664
2024-11-05,38.759
2024-11-06,38.713
2024-11-07,38.856
2024-11-08,38.663
2024-11-11,39.037
2024-11-12,39.898
2024-11-13,39.696
2024-11-14,41.154
2024-11-15,40.952
2024-11-18,41.372
2024-11-19,40.728
2024-11-20,40.768
2024-11-21,41.63
2024-11-22,40.902
2024-11-25,41.088
2024-11-26,41.143
2024-11-27,40.957
2024-11-28,40.907
2024-11-29,41.609
2024-12-02,41.925
2024-12-03,41.419
2024-12-04,40.838
2024-12-05,40.313
2024-12-06,40.378
2024-12-09,39.841
2024-12-10,40.306
2024-12-11,40.167
2024-12-12,38.997
2024-12-13,38.169
2024-12-16,37.727
2024-12-17,39.049
2024-12-18,38.483
2024-12-19,39.86
2024-12-20,40.294
2024-12-23,40.943
2024-12-24,41.309
2024-12-26,41.309
2024-12-27,42.785
2024-12-30,42.594
2024-12-31,43.615
2025-01-02,44.835
2025-01-03,44.795
2025-01-06,43.462
2025-01-07,43.835
2025-01-08,42.542
2025-01-09,42.375
2025-01-10,42.818
2025-01-13,45.078
2025-01-14,43.933
2025-01-15,44.054
2025-01-16,43.702
2025-01-17,44.489
2025-01-20,44.609
2025-01-21,44.729
2025-01-22,43.278
2025-01-23,43.414
2025-01-24,43.622
2025-01-27,42.484
2025-01-28,42.721
2025-01-29,44.249
2025-01-30,43.806
2025-01-31,45.405
2025-02-03,45.793
2025-02-04,45.536
2025-02-05,47.063
2025-02-06,47.862
2025-02-07,49.019
2025-02-10,50.566
2025-02-11,51.133
2025-02-12,51.719
2025-02-13,48.5
2025-02-14,47.252
2025-02-17,44.782
2025-02-18,45.627
2025-02-19,44.966
2025-02-20,44.53
2025-02-21,44.852
2025-02-24,44.662
2025-02-25,42.472
2025-02-26,40.854
2025-02-27,43.176
2025-02-28,42.716
2025-03-03,43.291
2025-03-04,41.341
2025-03-05,39.241
2025-03-06,36.721
2025-03-07,38.155
2025-03-10,39.4
2025-03-11,40.639
2025-03-12,39.823
2025-03-13,39.368
2025-03-14,39.08
2025-03-17,38.547
2025-03-18,38.24
2025-03-19,40.588
2025-03-20,40.929
2025-03-21,41.244
2025-03-24,41.733
2025-03-25,40.356
2025-03-26,39.935
2025-03-27,40.203
2025-03-28,39.913
2025-03-31,40.76
2025-04-01,42.357
2025-04-02,41.675
2025-04-03,39.567
2025-04-04,37.054
2025-04-07,37.712
2025-04-08,36.798
