maand,medewerkers
2018-01-15,12918.0
2018-02-15,10864.0
2018-03-15,14018.0
2018-04-15,9358.0
2018-05-15,13248.0
2018-06-15,10801.0
2018-07-15,4544.0
2018-08-15,3493.0
2018-09-15,9978.0
2018-10-15,13072.0
2018-11-15,12574.0
2018-12-15,9080.0
2019-01-15,13414.0
2019-02-15,12539.0
2019-03-15,12270.0
2019-04-15,9885.0
2019-05-15,13400.0
2019-06-15,10735.0
2019-07-15,5271.0
2019-08-15,4119.0
2019-09-15,11023.0
2019-10-15,12600.0
2019-11-15,12182.0
2019-12-15,7882.0
2020-01-15,11527.0
2020-02-15,9986.0
2020-03-15,5442.0
2020-04-15,1111.0
2020-05-15,3471.0
2020-06-15,7136.0
2020-07-15,4486.0
2020-08-15,3807.0
2020-09-15,8710.0
2020-10-15,9645.0
2020-11-15,7630.0
2020-12-15,6355.0
2021-01-15,9433.0
2021-02-15,9172.0
2021-03-15,10363.0
2021-04-15,7263.0
2021-05-15,8914.0
2021-06-15,9624.0
2021-07-15,3901.0
2021-08-15,3794.0
2021-09-15,8289.0
2021-10-15,8693.0
2021-11-15,7807.0
2021-12-15,5489.0
2022-01-15,7239.0
2022-02-15,8462.0
2022-03-15,8275.0
2022-04-15,5902.0
2022-05-15,8302.0
2022-06-15,8177.0
2022-07-15,3164.0
2022-08-15,3607.0
2022-09-15,9007.0
2022-10-15,8985.0
2022-11-15,8724.0
2022-12-15,6869.0
2023-01-15,10120.0
2023-02-15,8065.0
2023-03-15,9887.0
2023-04-15,7685.0
2023-05-15,8356.0
2023-06-15,8931.0
2023-07-15,3679.0
2023-08-15,3631.0
2023-09-15,8193.0
2023-10-15,9558.0
2023-11-15,9290.0
2023-12-15,5505.0
2024-01-15,8128.0
2024-02-15,8398.0
2024-03-15,8155.0
2024-04-15,7329.0
2024-05-15,6722.0
2024-06-15,6363.0
2024-07-15,3315.0
2024-08-15,2902.0
2024-09-15,6511.0
2024-10-15,8398.0
2024-11-15,8395.0
2024-12-15,6146.0
2025-01-15,8056.0
2025-02-15,7195.0
2025-03-15,7965.0
2025-04-15,6705.0
2025-05-15,6532.0
2025-06-15,7584.0
2025-07-15,3717.0
2025-08-15,1635.0
2025-09-15,27.0
