maand,opleidingsdagen
2018-01-15,13514.0
2018-02-15,11364.0
2018-03-15,14727.0
2018-04-15,9766.0
2018-05-15,13789.0
2018-06-15,11188.0
2018-07-15,4681.0
2018-08-15,3559.0
2018-09-15,10257.0
2018-10-15,13505.0
2018-11-15,12949.0
2018-12-15,9300.0
2019-01-15,13662.0
2019-02-15,12837.0
2019-03-15,12584.0
2019-04-15,10114.0
2019-05-15,13800.0
2019-06-15,11024.0
2019-07-15,5382.0
2019-08-15,4164.0
2019-09-15,11224.0
2019-10-15,12959.0
2019-11-15,12538.0
2019-12-15,8101.0
2020-01-15,11815.0
2020-02-15,10193.0
2020-03-15,5529.0
2020-04-15,1119.0
2020-05-15,3506.0
2020-06-15,7241.0
2020-07-15,4531.0
2020-08-15,3824.0
2020-09-15,8816.0
2020-10-15,9746.0
2020-11-15,7661.0
2020-12-15,6381.0
2021-01-15,9488.0
2021-02-15,9255.0
2021-03-15,10459.0
2021-04-15,7347.0
2021-05-15,9042.0
2021-06-15,9708.0
2021-07-15,3903.0
2021-08-15,3802.0
2021-09-15,8339.0
2021-10-15,8765.0
2021-11-15,7854.0
2021-12-15,5533.0
2022-01-15,7311.0
2022-02-15,8540.0
2022-03-15,8393.0
2022-04-15,5976.0
2022-05-15,8398.0
2022-06-15,8263.0
2022-07-15,3167.0
2022-08-15,3626.0
2022-09-15,9119.0
2022-10-15,9048.0
2022-11-15,8796.0
2022-12-15,6919.0
2023-01-15,10189.0
2023-02-15,8113.0
2023-03-15,9963.0
2023-04-15,7724.0
2023-05-15,8398.0
2023-06-15,8995.0
2023-07-15,3716.0
2023-08-15,3668.0
2023-09-15,8273.0
2023-10-15,9621.0
2023-11-15,9377.0
2023-12-15,5564.0
2024-01-15,8197.0
2024-02-15,8447.0
2024-03-15,8200.0
2024-04-15,7386.0
2024-05-15,6767.0
2024-06-15,6404.0
2024-07-15,3340.0
2024-08-15,2925.0
2024-09-15,6544.0
2024-10-15,8462.0
2024-11-15,8466.0
2024-12-15,6197.0
2025-01-15,8075.0
2025-02-15,7216.0
2025-03-15,8004.0
2025-04-15,6764.0
2025-05-15,3826.0
2025-06-15,51.0
