employees,fte,Datum
9751,9594.64,2025-09-15
9633,9479.14,2025-08-15
9551,9392.14,2025-07-15
9611,9444.62,2025-06-15
9608,9443.42,2025-05-15
9584,9421.1,2025-04-15
9560,9400.64,2025-03-15
9552,9395.94,2025-02-15
9559,9403.08,2025-01-15
9532,9381.72,2024-12-15
9530,9376.46,2024-11-15
9494,9341.7,2024-10-15
9480,9326.94,2024-09-15
9419,9262.08,2024-08-15
9359,9197.02,2024-07-15
9426,9266.66,2024-06-15
9420,9258.4,2024-05-15
9440,9279.2,2024-04-15
9423,9267.4,2024-03-15
9435,9284.9,2024-02-15
9460,9307.44,2024-01-15
9425,9277.46,2023-12-15
9432,9282.36,2023-11-15
9418,9270.56,2023-10-15
9425,9278.42,2023-09-15
9373,9222.36,2023-08-15
9314,9164.06,2023-07-15
9378,9231.5,2023-06-15
9370,9224.04,2023-05-15
9373,9227.48,2023-04-15
9360,9216.06,2023-03-15
9350,9205.84,2023-02-15
9357,9212.02,2023-01-15
9380,9233.54,2022-12-15
9398,9249.44,2022-11-15
9386,9234.52,2022-10-15
9400,9246.8,2022-09-15
9367,9207.74,2022-08-15
9291,9128.16,2022-07-15
9353,9188.18,2022-06-15
9335,9169.66,2022-05-15
9385,9211.76,2022-04-15
9376,9203.52,2022-03-15
9388,9212.26,2022-02-15
9407,9229.42,2022-01-15
9411,9232.88,2021-12-15
9437,9255.38,2021-11-15
9424,9243.0,2021-10-15
9438,9253.64,2021-09-15
9423,9237.32,2021-08-15
9426,9231.38,2021-07-15
9503,9309.0,2021-06-15
9540,9348.14,2021-05-15
9624,9425.951,2021-04-15
9649,9451.471,2021-03-15
9664,9464.951,2021-02-15
9702,9497.991,2021-01-15
9749,9540.751,2020-12-15
9772,9554.091,2020-11-15
9740,9519.371,2020-10-15
9693,9466.691,2020-09-15
9645,9413.611,2020-08-15
9635,9397.871,2020-07-15
9714,9419.111,2020-06-15
9746,9450.191,2020-05-15
9825,9573.04,2020-04-15
9832,9578.46,2020-03-15
9870,9615.02,2020-02-15
9932,9672.34,2020-01-15
9960,9698.6,2019-12-15
10002,9734.64,2019-11-15
10032,9758.38,2019-10-15
10027,9751.74,2019-09-15
9999,9716.96,2019-08-15
9963,9674.62,2019-07-15
10047,9761.84,2019-06-15
10070,9785.92,2019-05-15
10112,9827.84,2019-04-15
10098,9814.98,2019-03-15
10121,9838.18,2019-02-15
10108,9825.6,2019-01-15
10117,9835.422,2018-12-15
10109,9820.422,2018-11-15
10130,9833.182,2018-10-15
10128,9830.382,2018-09-15
10120,9817.162,2018-08-15
10112,9805.642,2018-07-15
10195,9886.162,2018-06-15
10240,9922.982,2018-05-15
10307,9988.722,2018-04-15
10346,10025.382,2018-03-15
10364,10043.562,2018-02-15
10379,10055.902,2018-01-15
