Asset Management,Audit Comité,CEO office,Company Secretary,Compliance & Investigation Office,Customer & Business Excellence,Finance & Business Administration,Human Resources & Organisation,Information & Communication Technology,Operations,Projects,Strategy & Corporate & Public Affairs,Supply Chain
3.392,4.0,4.0,7.0,4.0,4.114,3.908,3.833,3.528,3.956,3.538,4.268,3.545
3.104,3.4,6.0,6.0,3.0,3.763,3.585,3.475,3.046,3.475,3.454,3.779,3.166
9.474,12.375,14.0,12.0,14.5,13.01,12.614,11.672,10.797,15.72,8.567,13.81,8.96
16.001,17.625,20.0,16.5,21.5,19.096,19.297,17.382,17.134,23.3,13.877,18.571,15.811
12.556,15.125,18.0,14.5,17.5,16.514,16.463,14.184,14.196,20.303,11.617,16.631,11.98
12.962,16.375,20.0,17.0,20.5,18.371,17.882,14.363,14.945,21.204,13.175,17.833,13.024
10.183,14.0,9.0,12.0,14.5,14.281,13.198,10.331,12.168,16.923,9.428,11.375,10.947
10.068,14.375,7.333,9.0,8.5,14.317,13.687,10.593,12.495,16.793,9.507,11.297,9.631
11.303,16.0,9.333,17.0,14.0,17.598,17.294,12.215,14.842,19.696,9.211,14.56,12.35
12.032,16.0,11.666,16.5,19.5,17.787,18.801,14.696,15.753,19.393,11.04,18.8,13.02
11.902,14.714,13.5,15.0,18.0,16.368,16.737,14.054,14.478,18.558,10.5,17.133,12.75
10.994,14.666,10.5,16.0,20.5,16.071,16.058,13.123,13.672,17.709,10.283,15.526,9.854
12.616,16.666,13.75,16.0,17.5,17.414,17.89,14.628,15.458,19.817,10.641,18.064,12.269
12.046,16.5,13.75,14.5,18.5,16.7,17.251,14.192,14.801,18.395,9.682,17.706,12.218
13.653,16.857,17.0,18.5,22.0,19.098,20.267,15.541,17.103,21.268,12.025,20.918,13.392
11.166,14.428,13.75,13.5,20.0,15.26,16.565,13.195,14.015,17.664,10.479,16.849,10.745
10.845,15.428,13.0,13.0,16.5,15.703,15.654,12.69,13.566,16.92,10.209,15.693,10.285
12.255,17.142,15.0,17.5,17.0,18.301,18.567,14.315,16.249,19.526,11.443,18.453,11.0
8.728,15.571,8.5,11.5,12.0,13.171,13.657,10.181,11.784,13.429,7.909,11.943,8.722
9.148,11.714,12.25,11.0,13.5,13.209,13.638,10.51,12.004,13.979,9.166,13.083,9.022
10.644,16.125,15.25,16.0,11.5,15.597,17.252,12.279,14.442,16.839,9.942,15.381,11.812
10.478,14.75,13.5,14.5,14.0,15.547,17.152,12.473,14.668,16.717,9.102,14.986,11.187
9.639,15.125,12.25,13.0,14.0,13.799,15.301,11.436,12.972,14.462,8.388,13.71,9.777
10.862,17.25,12.25,13.0,17.5,15.552,16.601,13.081,13.772,16.715,10.151,15.337,10.701
11.373,16.375,15.25,21.0,18.5,16.012,17.27,13.12,15.003,17.284,9.692,16.782,10.23
10.712,16.375,15.0,18.0,19.5,15.782,16.686,13.318,14.406,16.85,9.123,15.805,10.44
10.002,14.75,15.0,21.0,15.5,14.394,15.739,11.802,13.424,15.019,9.106,14.342,10.849
