Asset Management,Audit Comité,CEO office,Company Secretary,Compliance & Investigation Office,Customer & Business Excellence,Finance & Business Administration,Human Resources & Organisation,Information & Communication Technology,Operations,Projects,Strategy & Corporate & Public Affairs,Supply Chain
1274.0,20.0,8.0,7.0,8.0,901.0,564.0,496.0,1289.0,883.0,37.0,292.0,44.0
1180.0,17.0,10.0,6.0,6.0,839.0,535.0,427.0,1106.0,828.0,32.0,261.0,38.0
14270.0,99.0,28.0,24.0,29.0,4049.0,2512.0,2171.0,8651.0,8093.0,657.0,1049.0,464.0
24939.0,141.0,41.0,33.0,43.0,5902.0,3766.0,3285.0,13997.0,12856.0,1231.0,1472.0,781.0
17385.0,121.0,35.0,29.0,35.0,5232.0,3226.0,2717.0,11061.0,10960.0,864.0,1300.0,561.0
15699.0,131.0,35.0,34.0,41.0,5777.0,3546.0,2652.0,11293.0,10641.0,913.0,1432.0,490.0
11167.0,112.0,21.0,24.0,29.0,4515.0,2554.0,1853.0,8767.0,8147.0,548.0,845.0,368.0
11399.0,115.0,38.0,18.0,17.0,4478.0,2610.0,1865.0,9045.0,8045.0,590.0,845.0,340.0
13218.0,128.0,46.0,34.0,28.0,5602.0,3313.0,2243.0,11292.0,9540.0,582.0,1115.0,436.0
16384.0,128.0,53.0,33.0,39.0,6740.0,3611.0,2724.0,12387.0,9114.0,754.0,1445.0,597.0
16867.0,103.0,71.0,30.0,36.0,6154.0,3164.0,2639.0,11305.0,9202.0,777.0,1321.0,636.0
14835.0,88.0,58.0,32.0,41.0,6078.0,3036.0,2502.0,10274.0,8560.0,743.0,1211.0,508.0
17333.0,100.0,75.0,32.0,35.0,6643.0,3450.0,2849.0,11833.0,9698.0,799.0,1427.0,592.0
16459.0,99.0,74.0,29.0,37.0,6366.0,3315.0,2696.0,11270.0,8941.0,757.0,1362.0,610.0
18935.0,118.0,90.0,37.0,44.0,7491.0,3894.0,3039.0,13048.0,10538.0,917.0,1584.0,706.0
14936.0,101.0,66.0,27.0,40.0,5997.0,3184.0,2475.0,10586.0,8312.0,719.0,1259.0,545.0
14291.0,108.0,68.0,26.0,33.0,6184.0,3021.0,2379.0,10264.0,8303.0,777.0,1212.0,518.0
16353.0,120.0,80.0,35.0,34.0,7231.0,3609.0,2743.0,12080.0,9423.0,855.0,1410.0,597.0
10656.0,109.0,48.0,23.0,24.0,5215.0,2588.0,1822.0,8532.0,6155.0,496.0,863.0,417.0
10526.0,82.0,60.0,22.0,27.0,5194.0,2626.0,1963.0,8730.0,6178.0,548.0,965.0,400.0
12817.0,129.0,76.0,32.0,23.0,6211.0,3315.0,2322.0,10857.0,7414.0,602.0,1210.0,483.0
12589.0,118.0,65.0,29.0,28.0,6094.0,3310.0,2393.0,10958.0,7395.0,521.0,1174.0,471.0
12416.0,121.0,61.0,26.0,28.0,5388.0,2876.0,2204.0,9876.0,6938.0,533.0,1072.0,465.0
14286.0,138.0,63.0,26.0,35.0,6074.0,3073.0,2480.0,10376.0,8071.0,584.0,1213.0,540.0
15113.0,131.0,81.0,21.0,37.0,6402.0,3231.0,2416.0,11323.0,8156.0,712.0,1338.0,616.0
13826.0,131.0,75.0,18.0,39.0,6362.0,3120.0,2448.0,10807.0,7857.0,617.0,1242.0,563.0
12358.0,118.0,72.0,21.0,31.0,5938.0,2931.0,2130.0,9968.0,6921.0,546.0,1115.0,525.0
6239.0,73.0,45.0,14.0,20.0,3775.0,1806.0,1184.0,5589.0,4614.0,268.0,704.0,305.0
7227.0,78.0,50.0,17.0,25.0,4535.0,2046.0,1331.0,6242.0,5266.0,304.0,811.0,360.0
6723.0,75.0,44.0,20.0,20.0,4300.0,2078.0,1218.0,6182.0,5007.0,288.0,775.0,343.0
