Asset Management,Audit Comité,CEO office,Company Secretary,Compliance & Investigation Office,Customer & Business Excellence,Finance & Business Administration,Human Resources & Organisation,Information & Communication Technology,Operations,Projects,Strategy & Corporate & Public Affairs,Supply Chain
378.0,5.0,1.0,1.0,2.0,210.0,142.0,126.0,366.0,230.0,13.0,67.0,11.0
382.0,5.0,1.0,1.0,2.0,216.0,147.0,121.0,363.0,243.0,11.0,68.0,11.0
1512.0,7.0,1.0,2.0,2.0,300.0,196.0,178.0,807.0,526.0,80.0,75.0,51.0
1563.0,7.0,1.0,2.0,2.0,302.0,193.0,181.0,818.0,549.0,90.0,77.0,52.0
1377.0,7.0,1.0,2.0,2.0,307.0,193.0,182.0,780.0,533.0,81.0,77.0,50.0
1207.0,7.0,1.0,2.0,2.0,305.0,195.0,177.0,756.0,498.0,74.0,78.0,41.0
1098.0,8.0,1.0,2.0,2.0,302.0,191.0,176.0,728.0,481.0,63.0,76.0,38.0
1127.0,7.0,3.0,2.0,2.0,298.0,187.0,171.0,726.0,483.0,67.0,74.0,38.0
1164.0,7.0,3.0,2.0,2.0,307.0,189.0,178.0,762.0,487.0,71.0,76.0,40.0
1343.0,7.0,3.0,2.0,2.0,380.0,191.0,181.0,789.0,465.0,75.0,75.0,50.0
1404.0,6.0,4.0,2.0,2.0,375.0,186.0,184.0,782.0,490.0,78.0,76.0,52.0
1337.0,6.0,4.0,2.0,2.0,378.0,187.0,186.0,754.0,484.0,74.0,76.0,55.0
1366.0,6.0,4.0,2.0,2.0,378.0,192.0,190.0,764.0,489.0,81.0,77.0,52.0
1356.0,6.0,4.0,2.0,2.0,379.0,191.0,185.0,760.0,486.0,85.0,75.0,54.0
1374.0,7.0,4.0,2.0,2.0,385.0,192.0,190.0,764.0,491.0,80.0,74.0,56.0
1328.0,7.0,4.0,2.0,2.0,387.0,190.0,183.0,753.0,470.0,73.0,73.0,55.0
1311.0,7.0,4.0,2.0,2.0,389.0,191.0,183.0,756.0,490.0,81.0,76.0,56.0
1329.0,7.0,4.0,2.0,2.0,395.0,191.0,187.0,741.0,483.0,79.0,76.0,59.0
1217.0,7.0,4.0,2.0,2.0,392.0,190.0,175.0,727.0,457.0,65.0,75.0,54.0
1145.0,7.0,4.0,2.0,2.0,391.0,190.0,183.0,728.0,443.0,65.0,73.0,45.0
1197.0,8.0,4.0,2.0,2.0,395.0,190.0,186.0,753.0,441.0,68.0,76.0,48.0
1192.0,8.0,4.0,2.0,2.0,389.0,190.0,188.0,749.0,439.0,67.0,76.0,48.0
1274.0,8.0,4.0,2.0,2.0,389.0,187.0,188.0,764.0,477.0,72.0,76.0,54.0
1305.0,8.0,4.0,2.0,2.0,389.0,183.0,185.0,758.0,482.0,66.0,77.0,57.0
1322.0,9.0,4.0,1.0,2.0,398.0,186.0,183.0,759.0,472.0,78.0,78.0,65.0
1285.0,8.0,4.0,1.0,2.0,401.0,186.0,182.0,751.0,466.0,73.0,79.0,59.0
1224.0,8.0,4.0,1.0,2.0,409.0,182.0,178.0,745.0,459.0,66.0,76.0,53.0
1037.0,8.0,3.0,1.0,2.0,404.0,177.0,167.0,644.0,499.0,53.0,75.0,49.0
1014.0,8.0,3.0,1.0,2.0,404.0,179.0,138.0,610.0,503.0,49.0,75.0,50.0
991.0,8.0,3.0,1.0,2.0,403.0,183.0,136.0,619.0,504.0,48.0,71.0,52.0
909.0,9.0,4.0,1.0,2.0,384.0,179.0,129.0,601.0,482.0,44.0,71.0,52.0
946.0,9.0,4.0,1.0,2.0,398.0,185.0,137.0,610.0,465.0,48.0,70.0,46.0
992.0,9.0,4.0,1.0,2.0,406.0,189.0,168.0,630.0,493.0,48.0,72.0,50.0
1017.0,9.0,4.0,1.0,2.0,445.0,188.0,146.0,634.0,503.0,51.0,73.0,49.0
1026.0,9.0,4.0,1.0,2.0,441.0,189.0,146.0,635.0,511.0,50.0,71.0,50.0
993.0,9.0,5.0,1.0,2.0,439.0,190.0,147.0,624.0,501.0,51.0,68.0,52.0
1006.0,9.0,4.0,1.0,2.0,448.0,186.0,153.0,633.0,507.0,54.0,68.0,46.0
996.0,9.0,4.0,1.0,2.0,445.0,187.0,149.0,627.0,507.0,56.0,67.0,52.0
1009.0,8.0,4.0,1.0,2.0,451.0,191.0,148.0,624.0,514.0,57.0,67.0,52.0
961.0,9.0,4.0,1.0,2.0,443.0,192.0,145.0,622.0,500.0,53.0,68.0,48.0
981.0,9.0,4.0,1.0,2.0,444.0,191.0,143.0,630.0,505.0,52.0,70.0,53.0
963.0,9.0,4.0,1.0,2.0,445.0,196.0,148.0,636.0,519.0,54.0,72.0,55.0
856.0,9.0,4.0,1.0,2.0,435.0,125.0,143.0,633.0,497.0,50.0,71.0,204.0
853.0,9.0,4.0,1.0,2.0,437.0,128.0,144.0,635.0,501.0,50.0,70.0,200.0
886.0,10.0,4.0,1.0,2.0,450.0,128.0,157.0,660.0,536.0,54.0,73.0,205.0
675.0,10.0,4.0,1.0,2.0,450.0,127.0,159.0,671.0,747.0,52.0,72.0,236.0
659.0,10.0,4.0,1.0,2.0,459.0,126.0,154.0,676.0,780.0,55.0,72.0,243.0
651.0,10.0,4.0,1.0,2.0,463.0,128.0,156.0,666.0,768.0,54.0,73.0,236.0
0.0,10.0,4.0,1.0,2.0,464.0,125.0,157.0,671.0,1474.0,54.0,73.0,251.0
0.0,10.0,4.0,1.0,2.0,470.0,126.0,155.0,669.0,1460.0,53.0,74.0,245.0
