ANDERE,DERDEN,INFRABEL,NMBS
50.0,561.0,196.0,380.0
28.0,556.0,227.0,403.0
20.0,711.0,222.0,450.0
8.0,335.0,208.0,396.0
54.0,598.0,280.0,498.0
31.0,836.0,216.0,521.0
48.0,615.0,287.0,436.0
54.0,713.0,208.0,440.0
11.0,942.0,333.0,662.0
114.0,639.0,319.0,543.0
74.0,660.0,417.0,566.0
49.0,553.0,257.0,571.0
228.0,744.0,363.0,634.0
49.0,675.0,281.0,550.0
89.0,678.0,281.0,402.0
65.0,753.0,441.0,417.0
209.0,1330.0,291.0,466.0
54.0,701.0,468.0,520.0
159.0,748.0,274.0,673.0
65.0,586.0,267.0,447.0
91.0,746.0,427.0,550.0
80.0,505.0,485.0,658.0
52.0,504.0,522.0,827.0
72.0,592.0,389.0,530.0
49.0,639.0,238.0,462.0
81.0,1064.0,422.0,415.0
41.0,723.0,291.0,471.0
26.0,171.0,89.0,135.0
79.0,551.0,252.0,331.0
21.0,522.0,440.0,392.0
33.0,630.0,195.0,350.0
115.0,483.0,296.0,443.0
40.0,560.0,455.0,521.0
124.0,490.0,287.0,504.0
144.0,569.0,337.0,457.0
79.0,524.0,268.0,456.0
67.0,560.0,412.0,606.0
251.0,870.0,378.0,721.0
50.0,916.0,426.0,663.0
54.0,667.0,278.0,523.0
45.0,695.0,500.0,449.0
68.0,766.0,533.0,931.0
43.0,1584.0,239.0,494.0
41.0,521.0,371.0,525.0
63.0,728.0,514.0,702.0
22.0,965.0,406.0,814.0
46.0,1057.0,381.0,771.0
47.0,645.0,399.0,768.0
50.0,622.0,283.0,703.0
92.0,1567.0,264.0,576.0
125.0,1011.0,490.0,794.0
185.0,950.0,360.0,657.0
159.0,937.0,553.0,787.0
70.0,1006.0,366.0,1034.0
100.0,790.0,424.0,929.0
117.0,601.0,240.0,732.0
71.0,868.0,516.0,823.0
42.0,1027.0,629.0,1006.0
48.0,888.0,466.0,845.0
47.0,1129.0,611.0,1738.0
71.0,970.0,298.0,827.0
165.0,1002.0,684.0,1174.0
201.0,1037.0,500.0,1059.0
69.0,863.0,404.0,1081.0
74.0,1259.0,823.0,1098.0
151.0,1049.0,785.0,1216.0
79.0,820.0,308.0,690.0
59.0,965.0,405.0,684.0
80.0,1010.0,442.0,1078.0
151.0,1083.0,601.0,1127.0
96.0,1672.0,494.0,1159.0
96.0,1027.0,482.0,1138.0
72.0,1184.0,668.0,1273.0
63.0,1294.0,678.0,1119.0
84.0,931.0,841.0,933.0
83.0,1084.0,460.0,834.0
76.0,1384.0,564.0,971.0
87.0,1025.0,573.0,879.0
90.0,1113.0,471.0,784.0
100.0,870.0,435.0,751.0
82.0,1234.0,666.0,1002.0
116.0,1049.0,687.0,1081.0
87.0,1198.0,453.0,1125.0
79.0,847.0,309.0,1222.0
109.0,868.0,568.0,1306.0
94.0,1283.0,454.0,1138.0
87.0,1042.0,470.0,846.0
147.0,1006.0,448.0,1043.0
