Man,Vrouw
9318,1007
9304,1012
9275,1015
9233,1018
9172,1014
9129,1009
9051,1003
9048,1011
9047,1022
9049,1033
9036,1037
9028,1052
9021,1055
9022,1069
8998,1074
9000,1083
8961,1081
8931,1088
8860,1078
8885,1095
8901,1103
8902,1114
8875,1110
8831,1113
8803,1125
8738,1131
8692,1137
8671,1150
8590,1154
8564,1155
8497,1142
8490,1157
8523,1172
8569,1179
8597,1183
8578,1181
8511,1190
8473,1193
8453,1200
8421,1200
8341,1200
8309,1200
8242,1193
8234,1197
8224,1214
8209,1213
8215,1220
8190,1220
8176,1230
8157,1230
8139,1230
8147,1233
8106,1226
8122,1229
8066,1219
8114,1247
8143,1253
8135,1254
8132,1264
8107,1271
8078,1277
8068,1274
8064,1287
8069,1297
8067,1296
8057,1308
8009,1289
8042,1312
8081,1328
8076,1327
8089,1329
8080,1330
8103,1337
8085,1336
8067,1342
8079,1347
8063,1343
8068,1348
8017,1329
8065,1338
8116,1356
8128,1357
8154,1372
8146,1381
8170,1384
8164,1384
8165,1394
8184,1397
8197,1411
8197,1412
8147,1398
8207,1417
8304,1439
8320,1438
8341,1447
8312,1449
8330,1453
8328,1449
