25-,26 - 30,31 - 35,36 - 40,41 - 45,46 - 50,51 - 55,56 - 60,61 - 65,> 65
0.0,114.0,717.0,1215.0,1464.0,1522.0,1329.0,817.0,2102.0,1513.0
0.0,115.0,728.0,1228.0,1466.0,1522.0,1329.0,816.0,2098.0,1476.0
0.0,114.0,737.0,1232.0,1479.0,1518.0,1331.0,820.0,2088.0,1436.0
0.0,117.0,740.0,1234.0,1475.0,1519.0,1328.0,823.0,2075.0,1391.0
0.0,120.0,750.0,1229.0,1474.0,1519.0,1330.0,824.0,2067.0,1323.0
0.0,118.0,754.0,1239.0,1479.0,1515.0,1333.0,821.0,2055.0,1277.0
1.0,119.0,755.0,1240.0,1463.0,1501.0,1327.0,818.0,2043.0,1233.0
2.0,127.0,762.0,1245.0,1474.0,1507.0,1332.0,820.0,2030.0,1198.0
2.0,136.0,768.0,1253.0,1488.0,1520.0,1334.0,824.0,2021.0,1148.0
3.0,151.0,784.0,1259.0,1488.0,1525.0,1336.0,829.0,2020.0,1104.0
4.0,164.0,784.0,1261.0,1497.0,1529.0,1337.0,830.0,2010.0,1061.0
4.0,171.0,793.0,1274.0,1500.0,1537.0,1342.0,829.0,2003.0,1026.0
5.0,181.0,810.0,1282.0,1510.0,1547.0,1339.0,836.0,1996.0,971.0
5.0,187.0,828.0,1289.0,1516.0,1550.0,1341.0,834.0,1989.0,943.0
5.0,189.0,829.0,1290.0,1524.0,1554.0,1341.0,829.0,1986.0,913.0
5.0,190.0,841.0,1302.0,1531.0,1562.0,1339.0,832.0,1984.0,885.0
4.0,191.0,845.0,1309.0,1530.0,1564.0,1347.0,836.0,1978.0,828.0
4.0,192.0,851.0,1313.0,1533.0,1562.0,1348.0,834.0,1965.0,802.0
5.0,195.0,846.0,1308.0,1511.0,1546.0,1335.0,834.0,1958.0,763.0
9.0,207.0,858.0,1316.0,1534.0,1558.0,1343.0,838.0,1955.0,732.0
12.0,221.0,866.0,1320.0,1547.0,1565.0,1351.0,840.0,1954.0,697.0
13.0,233.0,882.0,1326.0,1552.0,1564.0,1354.0,838.0,1948.0,665.0
