Andere,Arbeiders,Beheersloopbaan,Informatici,Personeel beheer van het verkeer,Support,Technisch personeel,Universitairen
54,3065,146,159,2044,1043,2794,1324
53,3061,147,161,2033,1041,2793,1328
51,3049,148,160,2030,1034,2798,1327
50,3009,147,159,2024,1031,2798,1327
55,2972,147,158,1996,1034,2788,1330
55,2936,145,158,1978,1029,2797,1336
56,2900,145,161,1958,1015,2792,1320
55,2883,145,156,1958,1015,2797,1335
51,2853,146,160,1952,1025,2800,1354
50,2841,145,160,1954,1027,2810,1357
49,2839,145,160,1946,1011,2805,1367
46,2827,146,160,1962,1008,2808,1365
45,2821,149,157,1948,1009,2825,1364
45,2810,149,157,1956,1013,2825,1371
47,2792,150,158,1938,1021,2824,1374
46,2774,150,156,1947,1027,2835,1380
47,2749,150,155,1936,1027,2835,1377
47,2719,151,156,1927,1027,2839,1383
46,2710,144,153,1897,1015,2828,1356
45,2697,149,156,1904,1016,2845,1384
46,2691,150,162,1895,1019,2853,1403
45,2687,150,161,1894,1012,2848,1422
45,2660,150,161,1887,1009,2844,1432
44,2643,150,162,1876,1009,2836,1428
41,2621,149,164,1865,1004,2826,1442
41,2584,148,163,1835,997,2820,1456
42,2558,147,161,1825,995,2809,1454
42,2548,147,160,1834,986,2802,1456
42,2511,147,158,1812,967,2780,1468
41,2500,148,157,1793,964,2759,1496
40,2478,147,157,1774,957,2739,1479
40,2465,150,160,1771,956,2740,1491
40,2465,150,164,1774,958,2751,1518
39,2489,152,166,1778,967,2779,1516
39,2492,152,166,1773,973,2803,1519
39,2477,151,166,1762,978,2803,1517
38,2450,153,166,1749,966,2790,1524
36,2429,154,166,1737,955,2774,1531
36,2413,151,166,1735,963,2764,1533
35,2408,150,166,1726,962,2753,1532
33,2371,150,162,1714,952,2736,1524
32,2351,150,162,1703,950,2726,1526
36,2320,146,161,1688,944,2708,1512
33,2296,149,162,1707,942,2710,1521
33,2281,150,169,1698,944,2714,1540
34,2266,148,173,1679,938,2720,1543
34,2262,148,173,1689,932,2724,1543
34,2247,148,172,1677,934,2723,1540
33,2218,150,169,1679,922,2736,1550
33,2196,149,170,1663,938,2741,1547
35,2174,146,172,1659,946,2740,1543
33,2173,144,171,1658,948,2746,1548
31,2141,143,171,1656,946,2733,1545
28,2149,144,177,1662,937,2738,1550
28,2143,141,176,1648,929,2717,1535
26,2150,146,179,1695,928,2719,1551
23,2147,147,188,1687,918,2744,1569
23,2142,148,187,1672,921,2743,1572
23,2137,148,187,1687,916,2738,1579
22,2125,148,188,1675,916,2737,1584
21,2117,150,186,1678,917,2719,1581
21,2127,152,185,1668,919,2711,1574
21,2117,153,186,1676,920,2711,1578
22,2106,155,188,1692,918,2706,1584
19,2117,155,190,1694,910,2696,1582
19,2114,155,194,1690,904,2695,1593
19,2104,150,191,1681,901,2685,1563
18,2097,152,195,1694,906,2696,1596
18,2098,156,199,1691,914,2703,1626
16,2084,159,200,1693,919,2701,1623
16,2080,159,199,1699,922,2701,1632
18,2082,156,199,1683,928,2698,1633
19,2073,293,225,1683,966,2668,1491
19,2072,295,227,1667,962,2655,1495
18,2065,299,228,1665,956,2644,1496
17,2058,300,229,1669,960,2648,1503
16,2050,299,228,1656,957,2642,1506
17,2055,297,228,1658,957,2636,1513
16,2043,292,226,1650,946,2624,1485
16,2060,298,234,1650,958,2623,1501
17,2048,301,242,1672,965,2635,1523
17,2038,293,242,1670,969,2647,1537
17,2038,294,243,1686,972,2644,1549
16,2029,296,243,1670,973,2648,1564
16,2027,296,243,1648,969,2654,1606
16,2019,297,241,1636,973,2657,1609
16,2013,294,240,1653,975,2652,1610
16,2022,293,241,1648,976,2658,1620
15,2006,293,240,1666,975,2659,1636
12,2013,293,237,1663,978,2653,1641
12,2007,286,234,1647,975,2646,1622
12,2015,292,239,1647,974,2665,1659
12,2038,297,244,1667,978,2674,1698
11,2037,301,243,1660,969,2678,1713
